genre_ids,original_language,popularity,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,release_date,production_budget,worldwide_gross,genre_names
"[14, 12, 16, 10751]",en,28.734,How to Train Your Dragon,7.7,7610,P/DW,217600000.0,277300000.0,2010,2010-03-26,165000000.0,494870992.0,"['Fantasy', 'Adventure', 'Animation', 'Family']"
"[12, 28, 878]",en,28.515,Iron Man 2,6.8,12368,Par.,312400000.0,311500000.0,2010,2010-05-07,170000000.0,621156389.0,"['Adventure', 'Action', 'Science Fiction']"
"[28, 878, 12]",en,27.92,Inception,8.3,22186,WB,292600000.0,535700000.0,2010,2010-07-16,160000000.0,835524642.0,"['Action', 'Science Fiction', 'Adventure']"
"[16, 10751, 35]",en,24.445,Toy Story 3,7.7,8340,BV,415000000.0,652000000.0,2010,2010-06-18,200000000.0,1068879522.0,"['Animation', 'Family', 'Comedy']"
"[16, 10751, 35]",en,23.673000000000002,Despicable Me,7.2,10057,Uni.,251500000.0,291600000.0,2010,2010-07-09,69000000.0,543464573.0,"['Animation', 'Family', 'Comedy']"
"[16, 28, 35, 10751, 878]",en,22.855,Megamind,6.8,3635,P/DW,148400000.0,173500000.0,2010,2010-11-05,130000000.0,321887208.0,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
"[53, 12, 28]",en,21.517,The Expendables,6.1,4647,LGF,103100000.0,171400000.0,2010,2010-08-13,82000000.0,268268174.0,"['Thriller', 'Adventure', 'Action']"
"[16, 10751]",en,21.511,Tangled,7.5,6407,BV,200800000.0,391000000.0,2010,2010-11-24,260000000.0,586477240.0,"['Animation', 'Family']"
"[12, 14, 18, 10749]",en,20.34,The Twilight Saga: Eclipse,6.0,4909,Sum.,300500000.0,398000000.0,2010,2010-06-30,68000000.0,706102828.0,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
"[28, 53, 878]",en,18.985,The Book of Eli,6.7,3495,WB,94800000.0,62300000.0,2010,2010-01-15,80000000.0,158750817.0,"['Action', 'Thriller', 'Science Fiction']"
"[18, 53, 9648]",en,18.06,Shutter Island,8.1,12625,Par.,128000000.0,166800000.0,2010,2010-02-19,80000000.0,299461782.0,"['Drama', 'Thriller', 'Mystery']"
"[12, 10751, 14]",en,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fox,104400000.0,311300000.0,2010,2010-12-10,155000000.0,418186950.0,"['Adventure', 'Family', 'Fantasy']"
"[53, 28, 12, 35, 80]",en,17.097,The A-Team,6.3,2703,Fox,77200000.0,100000000.0,2010,2010-06-11,110000000.0,177241171.0,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']"
"[28, 12, 10751, 14]",en,16.595,The Last Airbender,4.6,2143,Par.,131800000.0,187900000.0,2010,2010-07-01,150000000.0,319713881.0,"['Action', 'Adventure', 'Family', 'Fantasy']"
